ticker,industry,sector
A,Diagnostics & Research,Health Care
AACAY,Communication Equipment,Information Technology
AAON,Building Products & Equipment,Industrials
AAP,Specialty Retail,Consumer Discretionary
AAPL,Consumer Electronics,Information Technology
AAT,REIT—Diversified,Real Estate
AAV.TO,Oil & Gas E&P,Energy
AAVVF,Oil & Gas E&P,Energy
ABB,Electrical Equipment & Parts,Industrials
ABC,Medical Distribution,Health Care
ABEV,Beverages—Brewers,Consumer Staples
ABG,Auto & Truck Dealerships,Consumer Discretionary
ABLZF,Electrical Equipment & Parts,Industrials
ABM,Specialty Business Services,Industrials
ABST.TO,Software—Application,Information Technology
ABT,Medical Devices,Health Care
ABX.TO,Gold,Materials
ACCO,Business Equipment & Supplies,Industrials
ACCYY,Lodging,Consumer Discretionary
ACHC,Medical Care Facilities,Health Care
ACIW,Software—Infrastructure,Information Technology
ACM,Engineering & Construction,Industrials
ACN,Information Technology Services,Information Technology
ACNT,Steel,Materials
ACQ.TO,Auto & Truck Dealerships,Consumer Discretionary
ACU,Household & Personal Products,Consumer Staples
ADBE,Software—Infrastructure,Information Technology
ADC,REIT—Retail,Real Estate
ADDDF,Footwear & Accessories,Consumer Discretionary
ADDYY,Footwear & Accessories,Consumer Discretionary
ADEA,Software—Application,Information Technology
ADEN.TO,Industrial Distribution,Industrials
ADI,Semiconductors,Information Technology
ADM,Farm Products,Consumer Staples
ADN.TO,Lumber & Wood Production,Materials
ADP,Staffing & Employment Services,Industrials
ADRNY,Grocery Stores,Consumer Staples
ADUS,Medical Care Facilities,Health Care
AE,Oil & Gas Refining & Marketing,Energy
AEE,Utilities—Regulated Electric,Utilities
AEIS,Electrical Equipment & Parts,Industrials
AEM,Gold,Materials
AEM.TO,Gold,Materials
AEO,Apparel Retail,Consumer Discretionary
AEP,Utilities—Regulated Electric,Utilities
AER,Rental & Leasing Services,Industrials
AES,Utilities—Diversified,Utilities
AETUF,Oil & Gas E&P,Energy
AFN.TO,Farm & Heavy Construction Machinery,Industrials
AG,Silver,Materials
AGCO,Farm & Heavy Construction Machinery,Industrials
AGRO,Farm Products,Consumer Staples
AGX,Engineering & Construction,Industrials
AHCHY,Building Materials,Materials
AHKSY,Chemicals,Materials
AHODF,Grocery Stores,Consumer Staples
AHT,REIT—Hotel & Motel,Real Estate
AIF.TO,Real Estate Services,Real Estate
AIN,Textile Manufacturing,Consumer Discretionary
AIQUY,Specialty Chemicals,Materials
AIR,Aerospace & Defense,Industrials
AIRT,Integrated Freight & Logistics,Industrials
AIT,Industrial Distribution,Industrials
AJG,Insurance Brokers,Financials
AJRD,Aerospace & Defense,Industrials
AKAM,Software—Infrastructure,Information Technology
AKR,REIT—Retail,Real Estate
AKZOF,Specialty Chemicals,Materials
AKZOY,Specialty Chemicals,Materials
AL,Rental & Leasing Services,Industrials
ALA.TO,Oil & Gas Midstream,Energy
ALB,Specialty Chemicals,Materials
ALC.TO,Marine Shipping,Industrials
ALCO,Farm Products,Consumer Staples
ALE,Utilities—Diversified,Utilities
ALG,Farm & Heavy Construction Machinery,Industrials
ALGN,Medical Devices,Health Care
ALGT,Airlines,Industrials
ALK,Airlines,Industrials
ALOT,Computer Hardware,Information Technology
ALPMF,Drug Manufacturers—General,Health Care
ALV,Auto Parts,Consumer Discretionary
AMAT,Semiconductor Equipment & Materials,Information Technology
AME,Specialty Industrial Machinery,Industrials
AMED,Medical Care Facilities,Health Care
AMG,Asset Management,Financials
AMGN,Drug Manufacturers—General,Health Care
AMKR,Semiconductors,Information Technology
AMN,Medical Care Facilities,Health Care
AMNF,Packaged Foods,Consumer Staples
AMOT,Electronic Components,Information Technology
AMRC,Engineering & Construction,Industrials
AMS,Medical Care Facilities,Health Care
AMSWA,Software—Application,Information Technology
AMSYF,Steel,Materials
AMT,REIT—Specialty,Real Estate
AMX,Telecom Services,Communication Services
AMZN,Internet Retail,Consumer Discretionary
AN,Auto & Truck Dealerships,Consumer Discretionary
ANDE,Food Distribution,Consumer Staples
ANF,Apparel Retail,Consumer Discretionary
ANGPY,Other Precious Metals & Mining,Materials
ANIK,Medical Devices,Health Care
ANSS,Software—Application,Information Technology
AON,Insurance Brokers,Financials
AONNY,Department Stores,Consumer Discretionary
AORT,Medical Devices,Health Care
AOS,Specialty Industrial Machinery,Industrials
APA,Oil & Gas E&P,Energy
APD,Specialty Chemicals,Materials
APEI,Education & Training Services,Consumer Staples
APH,Electronic Components,Information Technology
APOG,Building Products & Equipment,Industrials
APT,Building Products & Equipment,Industrials
AQN.TO,Utilities—Renewable,Utilities
AR.TO,Gold,Materials
ARC,Specialty Business Services,Industrials
ARCB,Trucking,Industrials
ARCO,Restaurants,Consumer Discretionary
ARE.TO,Engineering & Construction,Industrials
ARESF,REIT—Diversified,Real Estate
ARKAY,Specialty Chemicals,Materials
ARKR,Restaurants,Consumer Discretionary
ARLP,Thermal Coal,Energy
ARTNA,Utilities—Regulated Water,Utilities
ARW,Electronics & Computer Distribution,Information Technology
ARX.TO,Oil & Gas E&P,Energy
ASGN,Information Technology Services,Information Technology
ASH,Specialty Chemicals,Materials
ASML,Semiconductor Equipment & Materials,Information Technology
ASR,Airports & Air Services,Industrials
ASTE,Farm & Heavy Construction Machinery,Industrials
ASX,Semiconductors,Information Technology
ATD.TO,Specialty Retail,Consumer Discretionary
ATEYY,Semiconductor Equipment & Materials,Information Technology
ATGE,Education & Training Services,Consumer Staples
ATGFF,Oil & Gas Midstream,Energy
ATI,Metal Fabrication,Industrials
ATLKY,Specialty Industrial Machinery,Industrials
ATNI,Telecom Services,Communication Services
ATO,Utilities—Regulated Gas,Utilities
ATR,Medical Instruments & Supplies,Health Care
ATRI,Medical Instruments & Supplies,Health Care
ATS.TO,Specialty Industrial Machinery,Industrials
ATSG,Airlines,Industrials
ATVI,Electronic Gaming & Multimedia,Communication Services
AUD,Broadcasting,Communication Services
AUDC,Communication Equipment,Information Technology
AVA,Utilities—Diversified,Utilities
AVAV,Aerospace & Defense,Industrials
AVB,REIT—Residential,Real Estate
AVD,Agricultural Inputs,Materials
AVID,Software—Application,Information Technology
AVIFY,Telecom Services,Communication Services
AVNT,Specialty Chemicals,Materials
AVT,Electronics & Computer Distribution,Information Technology
AVTA,Asset Management,Financials
AVY,Packaging & Containers,Consumer Discretionary
AWI,Building Products & Equipment,Industrials
AWK,Utilities—Regulated Water,Utilities
AWR,Utilities—Regulated Water,Utilities
AXAS,Oil & Gas E&P,Energy
AXL,Auto Parts,Consumer Discretionary
AXON,Aerospace & Defense,Industrials
AYI,Electrical Equipment & Parts,Industrials
AZN,Drug Manufacturers—General,Health Care
AZO,Specialty Retail,Consumer Discretionary
AZZ,Specialty Business Services,Industrials
B,Specialty Industrial Machinery,Industrials
BADFF,Engineering & Construction,Industrials
BAESY,Aerospace & Defense,Industrials
BAK,Chemicals,Materials
BALL,Packaging & Containers,Consumer Discretionary
BASFY,Chemicals,Materials
BAX,Medical Instruments & Supplies,Health Care
BAYRY,Drug Manufacturers—General,Health Care
BBGI,Broadcasting,Communication Services
BBSI,Staffing & Employment Services,Industrials
BBWI,Specialty Retail,Consumer Discretionary
BBY,Specialty Retail,Consumer Discretionary
BC,Recreational Vehicles,Consumer Discretionary
BCE,Telecom Services,Communication Services
BCE.TO,Telecom Services,Communication Services
BCO,Security & Protection Services,Industrials
BCPC,Specialty Chemicals,Materials
BDC,Communication Equipment,Information Technology
BDGI.TO,Engineering & Construction,Industrials
BDL,Restaurants,Consumer Discretionary
BDN,REIT—Office,Real Estate
BDT.TO,Engineering & Construction,Industrials
BDVSY,Conglomerates,Industrials
BDX,Medical Instruments & Supplies,Health Care
BECN,Building Products & Equipment,Industrials
BELFA,Electronic Components,Information Technology
BELFB,Electronic Components,Information Technology
BEN,Asset Management,Financials
BEP,Utilities—Renewable,Utilities
BFFAF,Chemicals,Materials
BFS,REIT—Retail,Real Estate
BG,Farm Products,Consumer Staples
BGFV,Specialty Retail,Consumer Discretionary
BGS,Packaged Foods,Consumer Staples
BH,Restaurants,Consumer Discretionary
BHC,Drug Manufacturers—Specialty & Generic,Health Care
BHC.TO,Drug Manufacturers—Specialty & Generic,Health Care
BHE,Electronic Components,Information Technology
BHP,Other Industrial Metals & Mining,Materials
BHPLF,Other Industrial Metals & Mining,Materials
BIDU,Internet Content & Information,Communication Services
BIG,Discount Stores,Consumer Staples
BIIB,Drug Manufacturers—General,Health Care
BIO,Medical Devices,Health Care
BIP,Utilities—Diversified,Utilities
BIR.TO,Oil & Gas E&P,Energy
BIREF,Oil & Gas E&P,Energy
BKE,Apparel Retail,Consumer Discretionary
BKH,Utilities—Diversified,Utilities
BKNG,Travel Services,Consumer Discretionary
BLK,Asset Management,Financials
BLKB,Software—Application,Information Technology
BLX.TO,Utilities—Renewable,Utilities
BMI,Scientific & Technical Instruments,Information Technology
BMY,Drug Manufacturers—General,Health Care
BN,Asset Management,Financials
BN.TO,Asset Management,Financials
BNE.TO,Oil & Gas E&P,Energy
BNEFF,Oil & Gas E&P,Energy
BOIVF,Entertainment,Communication Services
BOOM,Oil & Gas Equipment & Services,Energy
BOS.TO,Specialty Chemicals,Materials
BOSC,Communication Equipment,Information Technology
BP,Oil & Gas Integrated,Energy
BR,Information Technology Services,Information Technology
BRC,Security & Protection Services,Industrials
BRE.TO,Real Estate Services,Real Estate
BRFS,Packaged Foods,Consumer Staples
BRKR,Medical Devices,Health Care
BRO,Insurance Brokers,Financials
BSET,"Furnishings, Fixtures & Appliances",Consumer Discretionary
BSX,Medical Devices,Health Care
BTAFF,Tobacco,Consumer Staples
BTG,Gold,Materials
BTI,Tobacco,Consumer Staples
BTO.TO,Gold,Materials
BUD,Beverages—Brewers,Consumer Staples
BUDFF,Beverages—Brewers,Consumer Staples
BWA,Auto Parts,Consumer Discretionary
BXC,Industrial Distribution,Industrials
